Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Bacteriophage sp.		isolate: 295	38018	ASM1261011v1	GCA_012610115.1	GenBank		Complete Genome	7957	7957	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 292	38018	ASM1261012v1	GCA_012610125.1	GenBank		Complete Genome	8002	8002	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 288	38018	ASM1261013v1	GCA_012610135.1	GenBank		Complete Genome	8082	8082	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 286	38018	ASM1261014v1	GCA_012610145.1	GenBank		Complete Genome	8170	8170	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 284	38018	ASM1261015v1	GCA_012610155.1	GenBank		Complete Genome	8227	8227	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 280	38018	ASM1261016v1	GCA_012610165.1	GenBank		Complete Genome	8344	8344	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 273	38018	ASM1261025v1	GCA_012610255.1	GenBank		Complete Genome	8505	8505	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 272	38018	ASM1261026v1	GCA_012610265.1	GenBank		Complete Genome	8517	8517	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 268	38018	ASM1261027v1	GCA_012610275.1	GenBank		Complete Genome	8620	8620	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 263	38018	ASM1261028v1	GCA_012610285.1	GenBank		Complete Genome	8689	8689	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 253	38018	ASM1261029v1	GCA_012610295.1	GenBank		Complete Genome	8951	8951	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 246	38018	ASM1261032v1	GCA_012610325.1	GenBank		Complete Genome	9204	9204	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 235	38018	ASM1261033v1	GCA_012610335.1	GenBank		Complete Genome	9501	9501	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 230	38018	ASM1261038v1	GCA_012610385.1	GenBank		Complete Genome	9663	9663	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 125	38018	ASM1261040v1	GCA_012610405.1	GenBank		Complete Genome	10196	10196	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 208	38018	ASM1261047v1	GCA_012610475.1	GenBank		Complete Genome	10343	10343	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 124	38018	ASM1261048v1	GCA_012610485.1	GenBank		Complete Genome	10438	10438	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 206	38018	ASM1261049v1	GCA_012610495.1	GenBank		Complete Genome	10442	10442	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 201	38018	ASM1261052v1	GCA_012610525.1	GenBank		Complete Genome	10519	10519	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 12	38018	ASM1261053v1	GCA_012610535.1	GenBank		Complete Genome	10529	10529	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 199	38018	ASM1261054v1	GCA_012610545.1	GenBank		Complete Genome	10566	10566	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 190	38018	ASM1261057v1	GCA_012610575.1	GenBank		Complete Genome	10903	10903	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 186	38018	ASM1261058v1	GCA_012610585.1	GenBank		Complete Genome	11264	11264	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 184	38018	ASM1261062v1	GCA_012610625.1	GenBank		Complete Genome	11463	11463	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 179	38018	ASM1261064v1	GCA_012610645.1	GenBank		Complete Genome	11536	11536	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 177	38018	ASM1261065v1	GCA_012610655.1	GenBank		Complete Genome	11642	11642	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 175	38018	ASM1261529v1	GCA_012615295.1	GenBank		Complete Genome	11668	11668	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 116	38018	ASM1261531v1	GCA_012615315.1	GenBank		Complete Genome	11802	11802	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 166	38018	ASM1261532v1	GCA_012615325.1	GenBank		Complete Genome	12287	12287	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 165	38018	ASM1261535v1	GCA_012615355.1	GenBank		Complete Genome	12420	12420	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 160	38018	ASM1261538v1	GCA_012615385.1	GenBank		Complete Genome	12887	12887	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 159	38018	ASM1261541v1	GCA_012615415.1	GenBank		Complete Genome	12962	12962	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 156	38018	ASM1261544v1	GCA_012615445.1	GenBank		Complete Genome	13003	13003	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 151	38018	ASM1261545v1	GCA_012615455.1	GenBank		Complete Genome	13251	13251	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 141	38018	ASM1261551v1	GCA_012615515.1	GenBank		Complete Genome	14128	14128	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 139	38018	ASM1261552v1	GCA_012615525.1	GenBank		Complete Genome	14306	14306	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 114	38018	ASM1261556v1	GCA_012615565.1	GenBank		Complete Genome	16724	16724	2020-01-21		PRJNA579886	SAMN13135928
